---- ICPC Presentation Admin (2.3.491) ----
OS:  Windows 10 (amd64/10.0)
JRE: Oracle Corporation (12.0.2)
Folder: C:\Users\diego\Documents\DomJudge\1. presentationAdmin
Host: ROCA12ULTRA / 192.168.0.3
Locale/TZ: es_CO / hora estándar de Colombia
Args: https://localhost:8443 presAdmin padm1n 
Log started 2021.12.09 10:02.57

2021.12.09 10:02.58 I Download https://localhost:8443/presentation/ to C:\Users\diego\AppData\Local\Temp\org.icpc.tools.cache.localhost\presentation\listing.dir (200) (8.1kb in 126ms)
2021.12.09 10:02.59 I Updates found on CDS: 0
2021.12.09 10:02.59 presAdmin connecting...
2021.12.09 10:03.00 presAdmin connected
2021.12.09 10:03.00 I > {"type":"pres_list"}
2021.12.09 10:03.00 I > {"type":"info","source":"6720a0f7","client.type":"pres-admin","version":"2.3.491","os.name":"Windows 10","os.version":...
2021.12.09 10:03.01 I < {"type":"clients","clients":[]}
2021.12.09 10:03.01 I < {"type":"ping"}
2021.12.09 10:03.01 I > {"type":"ping"}
2021.12.09 10:03.01 I < {"type":"pres_list","file":"UEsDBBQACAgIADFf51IAAAAAAAAAAAAAAAAaAAAATUVUQS1JTkYvcHJlc2VudGF0aW9ucy54bWzNnOtz2zYSwL/3r8...
2021.12.09 10:03.01 I Looking for presentations in C:\Users\diego\AppData\Local\Temp\presentAdmin788748106729925110zip
2021.12.09 10:03.01 I    Found 65 presentations
2021.12.09 10:03.01 I    Found 19 transitions
2021.12.09 10:03.01 I < {"type":"ping"}
2021.12.09 10:03.01 I > {"type":"ping"}
2021.12.09 10:03.02 I < {"type":"ping"}
2021.12.09 10:03.02 I > {"type":"ping"}
2021.12.09 10:03.02 I < {"type":"ping"}
2021.12.09 10:03.02 I > {"type":"ping"}
2021.12.09 10:03.02 I < {"type":"time","time":1639062182946}
2021.12.09 10:03.02 I Nano time diff: 1638801679388
2021.12.09 10:03.02 I > {"type":"ping"}
2021.12.09 10:03.16 I > {"type":"properties","clients":[],"props":{"presentation":"1100|org.icpc.tools.presentation.contest.internal.scoreboar...
2021.12.09 10:03.26 I < {"type":"ping"}
2021.12.09 10:03.26 I > {"type":"ping"}
2021.12.09 10:03.37 I < {"type":"clients","clients":[{"name":"192.168.0.3","uid":"b833456f"}]}
2021.12.09 10:03.38 I < {"type":"clients","clients":[]}
2021.12.09 10:03.56 I < {"type":"ping"}
2021.12.09 10:03.56 I > {"type":"ping"}
2021.12.09 10:04.26 I < {"type":"ping"}
2021.12.09 10:04.26 I > {"type":"ping"}
2021.12.09 10:04.55 I < {"type":"clients","clients":[{"name":"192.168.0.3","uid":"b833456f"}]}
2021.12.09 10:04.56 I < {"type":"info","source":"b833456f","width":1366,"height":768,"hidden":false,"display":"1w"}
