---- ICPC Presentation Admin (2.3.491) ----
OS:  Windows 10 (amd64/10.0)
JRE: Oracle Corporation (11.0.11)
Folder: C:\Users\diego\Documents\GitHub\DomJudgeTools\1. presentationAdmin
Host: roca12red / 172.19.92.7
Locale/TZ: es_CO / hora estándar de Colombia
Args: https://localhost:8443 presAdmin padm1n 
Log started 2022.06.11 09:08.07

2022.06.11 09:08.10 I Download https://localhost:8443/presentation/ to C:\Users\diego\AppData\Local\Temp\org.icpc.tools.cache.localhost\presentation\listing.dir (200) (8.1kb in 472ms)
2022.06.11 09:08.11 I Updates found on CDS: 0
2022.06.11 09:08.12 presAdmin connecting...
2022.06.11 09:08.13 presAdmin connected
2022.06.11 09:08.13 I > {"type":"pres_list"}
2022.06.11 09:08.13 I > {"type":"info","source":"83246527","client.type":"pres-admin","version":"2.3.491","os.name":"Windows 10","os.version":...
2022.06.11 09:08.14 I < {"type":"clients","clients":[{"name":"172.19.92.7","uid":"d437099f","width":1366,"height":768,"contest.ids":[10],"vers...
2022.06.11 09:08.14 I < {"type":"ping"}
2022.06.11 09:08.14 I > {"type":"ping"}
2022.06.11 09:08.14 I < {"type":"info","source":"d437099f","presentation":null,"fps":0,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2wBDAAgGBgcGBQgHBw...
2022.06.11 09:08.14 I < {"type":"pres_list","file":"UEsDBBQACAgIAAl/slQAAAAAAAAAAAAAAAAaAAAATUVUQS1JTkYvcHJlc2VudGF0aW9ucy54bWzNnOtz2zYSwL/3r8...
2022.06.11 09:08.15 I Looking for presentations in C:\Users\diego\AppData\Local\Temp\presentAdmin4122439349109233313zip
2022.06.11 09:08.15 I    Found 65 presentations
2022.06.11 09:08.15 I    Found 19 transitions
2022.06.11 09:08.15 I < {"type":"ping"}
2022.06.11 09:08.15 I > {"type":"ping"}
2022.06.11 09:08.16 I < {"type":"ping"}
2022.06.11 09:08.16 I > {"type":"ping"}
2022.06.11 09:08.16 I < {"type":"ping"}
2022.06.11 09:08.16 I > {"type":"ping"}
2022.06.11 09:08.16 I < {"type":"time","time":1654956496555}
2022.06.11 09:08.16 I Nano time diff: 1654818586940
2022.06.11 09:08.16 I > {"type":"ping"}
2022.06.11 09:08.24 I < {"type":"info","source":"d437099f","presentation":null,"fps":0,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2wBDAAgGBgcGBQgHBw...
2022.06.11 09:08.27 I < {"type":"ping"}
2022.06.11 09:08.27 I > {"type":"ping"}
2022.06.11 09:08.34 I < {"type":"info","source":"d437099f","presentation":null,"fps":0,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2wBDAAgGBgcGBQgHBw...
2022.06.11 09:08.44 I > {"type":"properties","clients":[d437099f],"props":{"presentation":"1100|org.icpc.tools.presentation.contest.internal.p...
2022.06.11 09:08.44 I < {"type":"info","source":"d437099f","presentation":null,"fps":0,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2wBDAAgGBgcGBQgHBw...
2022.06.11 09:08.48 I < {"type":"info","source":"d437099f","presentation":"StatusCountdownPresentation","fps":32,"image":"/9j/4AAQSkZJRgABAgAA...
2022.06.11 09:08.52 I < {"type":"info","source":"d437099f","presentation":"StatusCountdownPresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAA...
2022.06.11 09:08.56 I < {"type":"info","source":"d437099f","presentation":"StatusCountdownPresentation","fps":62,"image":"/9j/4AAQSkZJRgABAgAA...
2022.06.11 09:08.57 I < {"type":"ping"}
2022.06.11 09:08.57 I > {"type":"ping"}
2022.06.11 09:08.58 I > {"type":"properties","clients":[d437099f],"props":{"presentation":"1100|org.icpc.tools.presentation.contest.internal.c...
2022.06.11 09:09.00 I < {"type":"info","source":"d437099f","presentation":"ProblemSummaryChart","fps":62,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/...
