---- ICPC Presentation Client (2.3.491) ----
OS:  Windows 10 (amd64/10.0)
JRE: Oracle Corporation (12.0.2)
Folder: C:\Users\diego\Documents\DomJudge\presentations
Host: ROCA12ULTRA / 192.168.0.3
Locale/TZ: es_CO / hora estándar de Colombia
Args: https://192.168.0.3:8443/api/contests/5/ presentation presentat1on 
Log started 2021.07.09 11:10.12

2021.07.09 11:10.13 I Contest source verified
2021.07.09 11:10.13 I Download https://192.168.0.3:8443/presentation/ to C:\Users\diego\AppData\Local\Temp\org.icpc.tools.cache.19216803apicontests5\presentation\listing.dir (200) (7.8kb in 120ms)
2021.07.09 11:10.13 I Updates found on CDS: 1
2021.07.09 11:10.13 I Version check: 2.3.491 (local) vs 2.3.491 (remote)
2021.07.09 11:10.15 I Display 1 found, modes:
2021.07.09 11:10.15 I    1366x768 @ 60hz in 32bit
2021.07.09 11:10.15 I    1280x720 @ 60hz in 32bit
2021.07.09 11:10.15 I    1024x768 @ 60hz in 32bit
2021.07.09 11:10.15 I    800x600 @ 60hz in 32bit
2021.07.09 11:10.15 I    640x480 @ 60hz in 32bit
2021.07.09 11:10.15 I    Config: false, true, true, DirectColorModel
2021.07.09 11:10.15 I Display 2 found, modes:
2021.07.09 11:10.15 I    1920x1080 @ 75hz in 32bit
2021.07.09 11:10.15 I    1920x1080 @ 60hz in 32bit
2021.07.09 11:10.15 I    1920x1080 @ 59hz in 32bit
2021.07.09 11:10.15 I    1920x1080 @ 50hz in 32bit
2021.07.09 11:10.15 I    1680x1050 @ 75hz in 32bit
2021.07.09 11:10.15 I    1680x1050 @ 60hz in 32bit
2021.07.09 11:10.15 I    1600x900 @ 75hz in 32bit
2021.07.09 11:10.15 I    1600x900 @ 60hz in 32bit
2021.07.09 11:10.15 I    1440x900 @ 75hz in 32bit
2021.07.09 11:10.15 I    1440x900 @ 60hz in 32bit
2021.07.09 11:10.15 I    1366x768 @ 75hz in 32bit
2021.07.09 11:10.15 I    1366x768 @ 60hz in 32bit
2021.07.09 11:10.15 I    1280x1024 @ 75hz in 32bit
2021.07.09 11:10.15 I    1280x1024 @ 60hz in 32bit
2021.07.09 11:10.15 I    1280x800 @ 75hz in 32bit
2021.07.09 11:10.15 I    1280x800 @ 60hz in 32bit
2021.07.09 11:10.15 I    1280x720 @ 75hz in 32bit
2021.07.09 11:10.15 I    1280x720 @ 60hz in 32bit
2021.07.09 11:10.15 I    1280x720 @ 59hz in 32bit
2021.07.09 11:10.15 I    1280x720 @ 50hz in 32bit
2021.07.09 11:10.15 I    1024x768 @ 75hz in 32bit
2021.07.09 11:10.15 I    1024x768 @ 60hz in 32bit
2021.07.09 11:10.15 I    800x600 @ 75hz in 32bit
2021.07.09 11:10.15 I    800x600 @ 60hz in 32bit
2021.07.09 11:10.15 I    720x576 @ 75hz in 32bit
2021.07.09 11:10.15 I    720x576 @ 60hz in 32bit
2021.07.09 11:10.15 I    720x576 @ 59hz in 32bit
2021.07.09 11:10.15 I    720x576 @ 50hz in 32bit
2021.07.09 11:10.15 I    720x480 @ 75hz in 32bit
2021.07.09 11:10.15 I    720x480 @ 60hz in 32bit
2021.07.09 11:10.15 I    720x480 @ 59hz in 32bit
2021.07.09 11:10.15 I    720x400 @ 75hz in 32bit
2021.07.09 11:10.15 I    720x400 @ 70hz in 32bit
2021.07.09 11:10.15 I    720x400 @ 60hz in 32bit
2021.07.09 11:10.15 I    720x400 @ 59hz in 32bit
2021.07.09 11:10.15 I    640x480 @ 75hz in 32bit
2021.07.09 11:10.15 I    640x480 @ 60hz in 32bit
2021.07.09 11:10.15 I    640x480 @ 59hz in 32bit
2021.07.09 11:10.15 I    Config: false, true, true, DirectColorModel
2021.07.09 11:10.15 I Presentation Client [192.168.0.3] connecting to RESTContestSource[presentation|presentat1on@https://192.168.0.3:8443/api/contests/5]
2021.07.09 11:10.15 192.168.0.3 connecting...
